,rmse,mean,median,std,min,max,sse
zed_ape_se3.zip,1.1052842422789215,0.9743844637322823,0.830571986144679,0.521754897501923,0.23044704610572356,2.6859700146958474,2272.2750565879664
zed_ape_sim3.zip,1.1046775746153301,0.9747062727260402,0.8415788190604575,0.5198655843259085,0.2749088772858011,2.674988141335279,2269.781331575895
zed_rpe_100m.zip,3.9722750539409537,3.9722750539409537,3.9722750539409537,0.0,3.9722750539409537,3.9722750539409537,15.778969104161607
zed_rpe_1m.zip,1.4636061932209308,1.1074123204343984,1.1975555873705943,0.956964493272747,0.016350494279907958,2.3822529957272804,445.56576247761024
zed_rpe_50m.zip,29.892574246041324,22.47842996412641,12.953308986965023,19.704978594328818,4.560970062895604,49.921010842518605,2680.697985165279
zed_rpe_~1s.zip,3.250726100786383,2.434477914101252,2.3446682530772307,2.1541906758889886,0.019734720589641114,5.3682247662073745,972.1842567747134
zed_yaw_50m.zip,126.86751085001616,119.72658377584885,102.53958387878696,41.96320348404793,79.12840814944931,177.5117592993103,48286.0959278369
pg_ape_se3.zip,0.9122207106163681,0.8466795705981819,0.8837554255429174,0.33952957103779635,0.17337004320155,1.7523470808403034,1487.0460186559703
pg_ape_sim3.zip,0.9122207017019,0.8466768570074088,0.8838274249641856,0.33953631384811034,0.17341669480398214,1.7523847734314022,1487.0459895923364
pg_rpe_100m.zip,2.5371432440142043,2.5371432440142043,2.5371432440142043,0.0,2.5371432440142043,2.5371432440142043,6.43709584064692
pg_rpe_1m.zip,1.4521762327289018,1.103308429414947,1.2156342197336363,0.9442067149118507,0.01944013262081775,2.4778506482381366,438.63368866776284
pg_rpe_50m.zip,28.776233185954037,21.531552466096624,15.273533690398372,19.09093619422921,1.9158115165502518,47.405312191341245,2484.2147891172076
pg_rpe_~1s.zip,3.3483709013385834,2.5324754975799193,2.598163571134156,2.1904692527146556,0.03726555531640293,5.487004445797825,997.8313046708554
pg_yaw_50m.zip,128.10122796531064,121.3807046360738,106.21585815776733,40.94690645544176,80.56380664162816,177.3624491088259,49229.77381866146
no_pg_ape_se3.zip,1.5366185942792792,1.091263363913162,0.9903665047734206,1.0818229868447782,0.17361047088607423,40.15493873101333,3936.114906042808
no_pg_ape_sim3.zip,1.5356110040998514,1.0926484394789835,0.9907198660398626,1.0789905206333814,0.1981556771310489,40.059572834825914,3930.954626906227
no_pg_rpe_1m.zip,4.206485426178737,1.5073348229557328,1.2978685729776769,3.9271441751174754,0.02308203225383546,39.942070270765804,3645.0710459747465
no_pg_rpe_50m.zip,21.861981816312674,17.33720504419331,13.853768182542652,13.317941665001538,3.0492445633327967,35.10860238670449,1433.838746810358
no_pg_rpe_~1s.zip,3.609162835474753,2.716058166988104,3.4310828139740166,2.3767802604593844,0.07014991685485615,6.454324572919709,1081.1626789566892
no_pg_yaw_50m.zip,132.1235823227168,124.28144617239225,129.0950728328201,44.841533683478,67.11363884635819,176.6356268379985,52369.92301736318
