,zed_ape_se3.zip,zed_ape_sim3.zip,zed_rpe_100m.zip,zed_rpe_1m.zip,zed_rpe_50m.zip,zed_rpe_~1s.zip,zed_yaw_50m.zip,pg_ape_se3.zip,pg_ape_sim3.zip,pg_rpe_100m.zip,pg_rpe_1m.zip,pg_rpe_50m.zip,pg_rpe_~1s.zip,pg_yaw_50m.zip
rmse,1.1052842422789215,1.1046775746153301,3.9722750539409537,1.4636061932209308,29.892574246041324,3.250726100786383,126.86751085001616,0.9122207106163681,0.9122207017019,2.5371432440142043,1.4521762327289018,28.776233185954037,3.3483709013385834,128.10122796531064
mean,0.9743844637322823,0.9747062727260402,3.9722750539409537,1.1074123204343984,22.47842996412641,2.434477914101252,119.72658377584885,0.8466795705981819,0.8466768570074088,2.5371432440142043,1.103308429414947,21.531552466096624,2.5324754975799193,121.3807046360738
median,0.830571986144679,0.8415788190604575,3.9722750539409537,1.1975555873705943,12.953308986965023,2.3446682530772307,102.53958387878696,0.8837554255429174,0.8838274249641856,2.5371432440142043,1.2156342197336363,15.273533690398372,2.598163571134156,106.21585815776733
std,0.521754897501923,0.5198655843259085,0.0,0.956964493272747,19.704978594328818,2.1541906758889886,41.96320348404793,0.33952957103779635,0.33953631384811034,0.0,0.9442067149118507,19.09093619422921,2.1904692527146556,40.94690645544176
min,0.23044704610572356,0.2749088772858011,3.9722750539409537,0.016350494279907958,4.560970062895604,0.019734720589641114,79.12840814944931,0.17337004320155,0.17341669480398214,2.5371432440142043,0.01944013262081775,1.9158115165502518,0.03726555531640293,80.56380664162816
max,2.6859700146958474,2.674988141335279,3.9722750539409537,2.3822529957272804,49.921010842518605,5.3682247662073745,177.5117592993103,1.7523470808403034,1.7523847734314022,2.5371432440142043,2.4778506482381366,47.405312191341245,5.487004445797825,177.3624491088259
sse,2272.2750565879664,2269.781331575895,15.778969104161607,445.56576247761024,2680.697985165279,972.1842567747134,48286.0959278369,1487.0460186559703,1487.0459895923364,6.43709584064692,438.63368866776284,2484.2147891172076,997.8313046708554,49229.77381866146
