,rmse,mean,median,std,min,max,sse
zed_ape.zip,0.5676990473346185,0.4675553167396721,0.34413952555535143,0.32198483525330546,0.12416834817931825,1.538869298059339,77.67001221105664
pg_ape.zip,0.7888241310658247,0.6912897076241802,0.6981571568181879,0.37995006235639556,0.05959183108110456,1.6182698066227141,108.89261420655686
zed_rpe_1m.zip,1.4636061932209308,1.1074123204343984,1.1975555873705943,0.956964493272747,0.016350494279907958,2.3822529957272804,445.56576247761024
